date,total_value,cash,position_value,equity_ratio,macro_score,regime,choppy_mode,positions,总资产,现金,持仓市值,权益仓位,市场状态,震荡市,持仓明细
2022-01-04,500000.0,500000.0,0.0,0.0,0.0,neutral,False,{},500000.0,500000.0,0.0,0.0,中性,False,{}
2022-01-05,500000.0,500000.0,0.0,0.0,0.0,neutral,False,{},500000.0,500000.0,0.0,0.0,中性,False,{}
2022-01-06,500000.0,500000.0,0.0,0.0,0.0,neutral,False,{},500000.0,500000.0,0.0,0.0,中性,False,{}
2022-01-07,500000.0,500000.0,0.0,0.0,0.0,neutral,False,{},500000.0,500000.0,0.0,0.0,中性,False,{}
2022-01-10,500000.0,500000.0,0.0,0.0,0.0,neutral,False,{},500000.0,500000.0,0.0,0.0,中性,False,{}
2022-01-11,500000.0,500000.0,0.0,0.0,0.0,neutral,False,{},500000.0,500000.0,0.0,0.0,中性,False,{}
2022-01-12,500000.0,500000.0,0.0,0.0,0.0,neutral,False,{},500000.0,500000.0,0.0,0.0,中性,False,{}
2022-01-13,500000.0,500000.0,0.0,0.0,0.0,neutral,False,{},500000.0,500000.0,0.0,0.0,中性,False,{}
2022-01-14,500000.0,500000.0,0.0,0.0,0.0,neutral,False,{},500000.0,500000.0,0.0,0.0,中性,False,{}
2022-01-17,500000.0,500000.0,0.0,0.0,0.0,neutral,False,{},500000.0,500000.0,0.0,0.0,中性,False,{}
2022-01-18,500000.0,500000.0,0.0,0.0,0.0,neutral,False,{},500000.0,500000.0,0.0,0.0,中性,False,{}
2022-01-19,500000.0,500000.0,0.0,0.0,0.0,neutral,False,{},500000.0,500000.0,0.0,0.0,中性,False,{}
2022-01-20,500000.0,500000.0,0.0,0.0,0.0,neutral,False,{},500000.0,500000.0,0.0,0.0,中性,False,{}
2022-01-21,500000.0,500000.0,0.0,0.0,0.0,neutral,False,{},500000.0,500000.0,0.0,0.0,中性,False,{}
2022-01-24,500000.0,500000.0,0.0,0.0,0.0,neutral,False,{},500000.0,500000.0,0.0,0.0,中性,False,{}
2022-01-25,500000.0,500000.0,0.0,0.0,0.0,neutral,False,{},500000.0,500000.0,0.0,0.0,中性,False,{}
2022-01-26,500000.0,500000.0,0.0,0.0,0.0,neutral,False,{},500000.0,500000.0,0.0,0.0,中性,False,{}
2022-01-27,500000.0,500000.0,0.0,0.0,0.0,neutral,False,{},500000.0,500000.0,0.0,0.0,中性,False,{}
2022-01-28,500000.0,500000.0,0.0,0.0,0.0,neutral,False,{},500000.0,500000.0,0.0,0.0,中性,False,{}
2022-02-07,500000.0,500000.0,0.0,0.0,0.0,neutral,False,{},500000.0,500000.0,0.0,0.0,中性,False,{}
2022-02-08,500000.0,500000.0,0.0,0.0,0.0,neutral,False,{},500000.0,500000.0,0.0,0.0,中性,False,{}
2022-02-09,500000.0,500000.0,0.0,0.0,0.0,neutral,False,{},500000.0,500000.0,0.0,0.0,中性,False,{}
2022-02-10,500000.0,500000.0,0.0,0.0,0.0,neutral,False,{},500000.0,500000.0,0.0,0.0,中性,False,{}
2022-02-11,500000.0,500000.0,0.0,0.0,0.0,neutral,False,{},500000.0,500000.0,0.0,0.0,中性,False,{}
2022-02-14,500000.0,500000.0,0.0,0.0,0.0,neutral,False,{},500000.0,500000.0,0.0,0.0,中性,False,{}
