date,code,direction,quantity,price,amount,commission,reason,current_weight,target_weight,delta_weight,direction_cn,reason_cn
2022-02-15,515220,buy,62700,1.994,125023.8,162.53094,rebalance,0.0,0.25,0.25,买入,调仓
2022-02-23,515220,sell,32900,2.131,70109.9,86.88771,rebalance,0.26279800839012685,0.125,-0.13779800839012685,卖出,调仓
2022-02-23,512400,buy,45500,1.397,63563.5,86.88771,rebalance,0.0,0.125,0.125,买入,调仓
2022-02-25,515220,sell,29800,2.061,61417.799999999996,80.84232,rebalance,0.12131705174307449,0.0,-0.12131705174307449,卖出,调仓
2022-02-25,512400,buy,45000,1.399,62955.0,80.84232,rebalance,0.12573514958496618,0.25,0.12426485041503382,买入,调仓
2022-03-01,512400,sell,45200,1.397,63144.4,82.11125,rebalance,0.24990022600771783,0.125,-0.12490022600771783,卖出,调仓
2022-03-01,515220,buy,29400,2.149,63180.6,82.11125,rebalance,0.0,0.125,0.125,买入,调仓
2022-03-04,512400,sell,45300,1.385,62740.5,80.24497,rebalance,0.12341180693004548,0.0,-0.12341180693004548,卖出,调仓
2022-03-04,515220,buy,26900,2.257,60713.3,80.24497,rebalance,0.13052317368029762,0.25,0.11947682631970238,买入,调仓
2022-03-07,515220,sell,33900,2.262,76681.8,98.97229333333333,rebalance,0.2504415417165969,0.0995,-0.15094154171659688,卖出,调仓
2022-03-07,512890,buy,121600,0.832,101171.2,98.97229333333333,rebalance,0.0,0.1989,0.1989,买入,调仓
2022-03-07,512400,buy,36600,1.381,50544.6,98.97229333333333,rebalance,0.0,0.0995,0.0995,买入,调仓
2022-03-08,512890,sell,121600,0.806,98009.6,127.41248,rebalance,0.19631989152429904,0.0,-0.19631989152429904,卖出,调仓
2022-03-09,512400,sell,36600,1.266,46335.6,60.236279999999994,追踪止损: 回撤8.3% > 8%,0.09278481181026416,0.0,0.0,卖出,追踪止损: 回撤8.3% > 8%
2022-03-09,515220,buy,11700,2.203,25775.1,33.50763,rebalance,0.09882731662938526,0.1505,0.05167268337061473,买入,调仓
2022-03-10,588000,buy,79400,1.201,95359.40000000001,123.96722000000001,rebalance,0.0,0.1913,0.1913,买入,调仓
2022-03-11,515220,sell,34100,2.183,74440.29999999999,67.99857999999999,rebalance,0.14907097673466618,0.0,-0.14907097673466618,卖出,调仓
2022-03-11,588000,sell,47600,1.212,57691.2,67.99857999999999,rebalance,0.19271170978504634,0.0772,-0.11551170978504634,卖出,调仓
