date,macro_score,equity_ratio,regime,choppy_mode,n_broad_targets,n_sector_targets
2025-01-02,0.0,0.5,neutral,False,0,0
2025-01-03,0.0,0.5,neutral,False,0,0
2025-01-06,0.0,0.5,neutral,False,0,0
2025-01-07,0.0,0.5,neutral,False,0,0
2025-01-08,0.0,0.5,neutral,False,0,0
2025-01-09,0.0,0.5,neutral,False,0,0
2025-01-10,0.0,0.5,neutral,False,0,0
2025-01-13,0.0,0.5,neutral,False,0,0
2025-01-14,0.0,0.5,neutral,False,0,0
2025-01-15,0.0,0.5,neutral,False,0,0
2025-01-16,0.0,0.5,neutral,False,0,0
2025-01-17,0.0,0.5,neutral,False,0,0
2025-01-20,0.0,0.5,neutral,False,0,0
2025-01-21,0.0,0.5,neutral,False,0,0
2025-01-22,0.0,0.5,neutral,False,0,0
2025-01-23,0.0,0.5,neutral,False,0,0
2025-01-24,0.0,0.5,neutral,False,0,0
2025-01-27,0.0,0.5,neutral,False,0,0
2025-02-05,0.0,0.5,neutral,False,0,0
2025-02-06,0.0,0.5,neutral,False,0,0
2025-02-07,0.0,0.5,neutral,False,0,1
2025-02-10,0.0,0.5,neutral,False,0,1
2025-02-11,0.0,0.5,neutral,False,0,1
2025-02-12,0.0,0.5,neutral,False,0,1
2025-02-13,0.0,0.5,neutral,False,0,0
2025-02-14,0.0,0.5,neutral,False,0,0
2025-02-17,0.0,0.5,neutral,False,0,0
2025-02-18,0.0,0.5,neutral,False,0,0
2025-02-19,0.0,0.5,neutral,False,0,0
2025-02-20,0.0,0.5,neutral,False,0,1
2025-02-21,0.0,0.5,neutral,False,0,0
2025-02-24,0.0,0.5,neutral,False,0,1
2025-02-25,0.0,0.5,neutral,False,0,1
2025-02-26,0.0,0.5,neutral,False,0,2
2025-02-27,0.0,0.5,neutral,False,0,1
2025-02-28,0.0,0.5,neutral,False,0,1
2025-03-03,0.0,0.5,neutral,False,0,1
2025-03-04,0.0,0.5,neutral,False,0,1
2025-03-05,0.0,0.5,neutral,False,0,2
2025-03-06,-4.202651725743354,0.4304,bearish,False,1,1
2025-03-07,-4.2245526411910514,0.4301,bearish,False,1,2
2025-03-10,-6.3159183497875135,0.3963,bearish,False,0,1
2025-03-11,-5.314939094298212,0.4123,bearish,False,0,1
2025-03-12,-7.848002431264626,0.3721,bearish,False,0,1
2025-03-13,-11.153321573778799,0.3222,bearish,False,0,2
2025-03-14,-3.670289221740773,0.4391,bearish,False,2,2
2025-03-17,-3.7361315592222564,0.4381,bearish,False,1,0
2025-03-18,-0.9617861332752511,0.484,bearish,False,3,2
2025-03-19,-3.259010096406071,0.4459,bearish,False,2,0
2025-03-20,-4.2786147723578996,0.4292,bearish,False,1,0
2025-03-21,-14.691974615032516,0.273,bearish,False,1,0
2025-03-24,-11.76398403995541,0.3134,bearish,False,1,0
2025-03-25,-10.16552925836778,0.3368,bearish,False,1,0
2025-03-26,-11.725047566972332,0.314,bearish,False,1,0
2025-03-27,-8.995649715928646,0.3544,bearish,False,1,0
2025-03-28,-5.053094584018179,0.4166,bearish,False,1,0
2025-03-31,-7.12697805028447,0.3834,bearish,False,1,0
2025-04-01,-6.800044500675041,0.3886,bearish,False,1,0
2025-04-02,-6.38708717892468,0.3951,bearish,False,1,0
2025-04-03,-11.493966625842006,0.3173,bearish,False,1,0
2025-04-07,-16.260702829406092,0.2527,bearish,False,0,0
2025-04-08,-13.041655115408624,0.2954,bearish,False,0,0
2025-04-09,-10.708033627342978,0.3287,bearish,False,0,0
2025-04-10,-8.716121717122705,0.3587,bearish,False,0,0
2025-04-11,-6.9209312828463965,0.3867,bearish,False,0,0
2025-04-14,-2.485626138632274,0.4587,neutral,False,0,0
2025-04-15,-3.1877435891639267,0.4471,neutral,False,0,0
2025-04-16,-4.101767230103179,0.4321,neutral,False,1,0
2025-04-17,-4.719983448624859,0.422,neutral,False,0,0
2025-04-18,-4.556723914482801,0.4246,neutral,False,1,0
2025-04-21,-3.1380817195135817,0.4479,neutral,False,0,0
2025-04-22,-3.1867264749076543,0.4471,neutral,False,0,0
2025-04-23,-2.896078563686852,0.4519,neutral,False,0,0
2025-04-24,-3.1074248335234995,0.4484,neutral,False,0,0
2025-04-25,-3.122855541475613,0.4481,neutral,False,0,0
2025-04-28,-3.4744610072950834,0.4423,neutral,False,0,0
2025-04-29,-3.0979917147422187,0.4485,neutral,False,0,0
2025-04-30,-3.0192775169712927,0.4498,neutral,False,0,0
2025-05-06,-1.2674844137495063,0.4789,neutral,False,3,0
2025-05-07,-0.5230936169316203,0.4913,neutral,False,5,0
2025-05-08,15.408471377898984,0.7364,bullish,False,10,0
2025-05-09,12.470762591254038,0.6966,bullish,False,10,0
2025-05-12,13.049582936547063,0.7047,bullish,False,10,0
2025-05-13,9.29876018693247,0.6502,bullish,False,9,0
2025-05-14,9.574932493340627,0.6544,bullish,False,8,0
2025-05-15,3.7661404115725223,0.5624,bullish,False,7,0
2025-05-16,3.3977672805612835,0.5564,bullish,False,8,0
2025-05-19,2.035748351191129,0.5339,bullish,False,8,0
2025-05-20,3.2520465667315457,0.554,bullish,False,8,0
2025-05-21,2.2514978121691076,0.5375,bullish,False,8,0
2025-05-22,1.7623284029373079,0.5293,bullish,False,8,0
2025-05-23,-0.12174257415622797,0.498,neutral,False,5,0
2025-05-26,-0.5117222367693239,0.4915,neutral,False,5,0
2025-05-27,-1.830939553118678,0.4695,neutral,False,1,0
2025-05-28,-2.7165937718587254,0.4548,neutral,False,1,0
2025-05-29,2.376482510539187,0.5395,bullish,False,8,0
2025-05-30,1.7013898201631896,0.5283,bullish,False,8,0
