date,code,direction,quantity,price,amount,commission,reason
2025-02-07,562500,buy,138900,0.9,125010.0,162.513,rebalance
2025-02-20,562500,sell,138900,0.974,135288.6,170.800955,rebalance
2025-02-20,560660,buy,98900,1.289,127482.09999999999,170.800955,rebalance
2025-02-26,560660,sell,50800,1.338,67970.40000000001,86.01008000000002,rebalance
2025-02-26,562500,buy,62600,1.028,64352.8,86.01008000000002,rebalance
2025-02-27,560660,sell,48100,1.293,62193.299999999996,82.03649999999999,rebalance
2025-02-27,562500,buy,62700,1.021,64016.7,82.03649999999999,rebalance
2025-02-28,562500,sell,125300,0.944,118283.2,158.46012,rebalance
2025-02-28,560660,buy,102200,1.228,125501.59999999999,158.46012,rebalance
2025-03-03,560660,sell,102200,1.219,124581.8,162.38351999999998,rebalance
2025-03-03,515700,buy,69500,1.802,125239.0,162.38351999999998,rebalance
2025-03-04,515700,sell,69500,1.775,123362.5,161.216185,rebalance
2025-03-04,562500,buy,130400,0.956,124662.4,161.216185,rebalance
2025-03-05,562500,sell,66000,0.97,64020.0,82.2354,rebalance
2025-03-05,560660,buy,49600,1.26,62496.0,82.2354,rebalance
2025-03-06,562500,sell,64400,0.997,64206.8,93.45630666666666,rebalance
2025-03-06,512890,buy,100000,1.087,108700.0,93.45630666666666,rebalance
2025-03-06,560660,buy,32200,1.328,42761.600000000006,93.45630666666666,rebalance
2025-03-07,560660,sell,40600,1.313,53307.799999999996,69.79790999999999,rebalance
2025-03-07,562500,buy,54400,0.994,54073.6,69.79790999999999,rebalance
2025-03-10,512890,sell,100000,1.079,107900.0,88.92363999999999,rebalance
2025-03-10,560660,sell,41200,1.275,52529.99999999999,88.92363999999999,rebalance
2025-03-10,562500,buy,44600,1.004,44778.4,88.92363999999999,rebalance
2025-03-13,562500,sell,56900,0.949,53998.1,60.993790000000004,rebalance
2025-03-13,515700,buy,22700,1.755,39838.5,60.993790000000004,rebalance
2025-03-14,515700,sell,22700,1.799,40837.299999999996,66.5452125,rebalance
2025-03-14,512890,buy,49700,1.1,54670.00000000001,66.5452125,rebalance
2025-03-14,512690,buy,83800,0.652,54637.6,66.5452125,rebalance
2025-03-14,512000,buy,49600,1.101,54609.6,66.5452125,rebalance
2025-03-17,512690,sell,83800,0.652,54637.6,66.183975,rebalance
2025-03-17,512000,sell,49600,1.089,54014.4,66.183975,rebalance
2025-03-17,562500,sell,42100,0.974,41005.4,66.183975,rebalance
2025-03-17,512890,buy,48900,1.104,53985.600000000006,66.183975,rebalance
2025-03-18,512890,sell,62200,1.102,68544.40000000001,69.86184399999999,rebalance
2025-03-18,562500,buy,61000,0.986,60146.0,69.86184399999999,rebalance
2025-03-18,512690,buy,93000,0.646,60078.0,69.86184399999999,rebalance
2025-03-18,512000,buy,36800,1.09,40112.0,69.86184399999999,rebalance
2025-03-18,510500,buy,6500,6.126,39819.0,69.86184399999999,rebalance
2025-03-19,562500,sell,61000,0.982,59902.0,66.165606,rebalance
2025-03-19,512690,sell,93000,0.641,59613.0,66.165606,rebalance
2025-03-19,512000,sell,36800,1.089,40075.2,66.165606,rebalance
2025-03-19,510500,sell,6500,6.102,39663.0,66.165606,rebalance
2025-03-19,159601,buy,64900,0.851,55229.9,66.165606,rebalance
2025-03-20,159601,sell,64900,0.845,54840.5,78.52584999999999,rebalance
2025-03-20,512890,buy,59700,1.105,65968.5,78.52584999999999,rebalance
2025-03-21,512890,sell,34900,1.103,38494.7,50.04310999999999,rebalance
2025-03-28,512890,buy,31500,1.112,35028.0,45.5364,rebalance
2025-04-03,512890,sell,22700,1.125,25537.5,33.19875,rebalance
2025-04-16,512890,buy,25900,1.116,28904.4,37.57572,rebalance
2025-05-06,512890,sell,95900,1.109,106353.1,73.0347475,rebalance
2025-05-06,159537,buy,32400,1.219,39495.600000000006,73.0347475,rebalance
2025-05-06,588000,buy,36600,1.078,39454.8,73.0347475,rebalance
2025-05-06,515000,buy,30700,1.284,39418.8,73.0347475,rebalance
2025-05-13,588000,sell,36600,1.06,38796.0,50.434799999999996,rebalance
2025-05-14,159537,sell,32400,1.194,38685.6,50.29127999999999,rebalance
2025-05-27,515000,sell,30700,1.241,38098.700000000004,99.81504000000001,rebalance
2025-05-27,159915,buy,58700,1.967,115462.90000000001,99.81504000000001,rebalance
2025-05-28,159915,sell,58700,1.959,114993.3,147.28031499999997,rebalance
2025-05-28,512890,buy,96700,1.154,111591.79999999999,147.28031499999997,rebalance
2025-05-29,512890,sell,96700,1.152,111398.4,144.81792,rebalance
2025-06-19,159537,buy,47800,1.123,53679.4,69.76697,rebalance
2025-06-19,515000,buy,41400,1.296,53654.4,69.76697,rebalance
2025-06-20,512890,buy,31500,1.182,37233.0,48.402899999999995,rebalance
2025-06-23,159537,sell,25700,1.122,28835.4,34.757157500000005,rebalance
2025-06-23,515000,sell,22200,1.292,28682.4,34.757157500000005,rebalance
2025-06-23,512100,buy,10100,2.448,24724.8,34.757157500000005,rebalance
2025-06-23,512000,buy,24100,1.025,24702.499999999996,34.757157500000005,rebalance
2025-06-30,512890,sell,31500,1.186,37359.0,48.5667,rebalance
2025-07-03,159537,sell,22100,1.153,25481.3,33.12569,rebalance
2025-07-07,515000,sell,19200,1.343,25785.6,32.662304999999996,rebalance
2025-07-07,510500,buy,4200,5.951,24994.199999999997,32.662304999999996,rebalance
2025-07-07,159601,buy,29400,0.846,24872.399999999998,32.662304999999996,rebalance
2025-07-07,512890,buy,20400,1.218,24847.2,32.662304999999996,rebalance
2025-07-15,512890,sell,20400,1.216,24806.399999999998,32.24831999999999,rebalance
2025-07-31,512000,sell,24100,1.146,27618.6,37.54298166666666,rebalance
2025-07-31,510500,sell,4200,6.297,26447.399999999998,37.54298166666666,rebalance
2025-07-31,159601,sell,29400,0.875,25725.0,37.54298166666666,rebalance
2025-07-31,159537,buy,25500,1.223,31186.500000000004,37.54298166666666,rebalance
2025-07-31,588000,buy,28300,1.101,31158.3,37.54298166666666,rebalance
2025-07-31,515000,buy,20500,1.519,31139.499999999996,37.54298166666666,rebalance
2025-08-04,560660,buy,86800,1.393,120912.4,157.18612,rebalance
2025-08-06,560660,sell,86800,1.403,121780.40000000001,158.31452000000002,rebalance
2025-08-08,515000,sell,20500,1.494,30627.0,39.8151,rebalance
2025-08-11,560660,buy,95000,1.4,133000.0,172.9,rebalance
2025-08-12,560660,sell,95000,1.43,135850.0,178.47907999999998,rebalance
2025-08-12,512400,buy,106800,1.299,138733.19999999998,178.47907999999998,rebalance
2025-08-13,512400,sell,106800,1.327,141723.6,184.24068,rebalance
2025-08-14,512400,buy,106700,1.32,140844.0,183.0972,rebalance
2025-08-18,512400,sell,106700,1.352,144258.40000000002,187.53592000000003,rebalance
2025-09-02,512100,sell,10100,2.959,29885.9,38.85167,rebalance
2025-09-03,159537,sell,25500,1.434,36567.0,47.537099999999995,利润保护: 盈利从25.9%回落至17.3%
2025-09-04,588000,sell,28300,1.282,36280.6,23.582389999999997,追踪止损: 回撤10.5% > 8%
2025-09-04,588000,sell,28300,1.282,36280.6,23.582389999999997,利润保护: 盈利从30.2%回落至16.4%
2025-09-05,159915,buy,19600,2.944,57702.4,74.953385,rebalance
2025-09-05,159601,buy,57900,0.995,57610.5,74.953385,rebalance
2025-09-11,159915,sell,13700,3.025,41442.5,53.537965,rebalance
2025-09-11,159601,sell,40200,1.018,40923.6,53.537965,rebalance
2025-09-12,588000,buy,40100,1.406,56380.6,73.28301499999998,rebalance
2025-09-12,159537,buy,37500,1.503,56362.49999999999,73.28301499999998,rebalance
2025-09-15,588000,sell,40100,1.409,56500.9,71.620705,rebalance
2025-09-15,159537,buy,35600,1.508,53684.8,71.620705,rebalance
2025-09-16,159537,sell,35200,1.539,54172.799999999996,73.12252999999998,rebalance
2025-09-16,588000,buy,40900,1.426,58323.399999999994,73.12252999999998,rebalance
2025-09-29,588000,sell,40900,1.543,63108.7,99.00145666666667,rebalance
2025-09-29,159537,sell,37900,1.632,61852.799999999996,99.00145666666667,rebalance
2025-09-29,512000,buy,169400,0.611,103503.4,99.00145666666667,rebalance
2025-10-09,512000,sell,102700,0.606,62236.2,62.03608666666667,rebalance
2025-10-09,159537,buy,23600,1.715,40474.0,62.03608666666667,rebalance
2025-10-09,588000,buy,25000,1.618,40450.0,62.03608666666667,rebalance
2025-10-10,588000,sell,25000,1.528,38200.0,64.8219,rebalance
2025-10-10,159537,sell,23600,1.618,38184.8,64.8219,rebalance
2025-10-10,512000,buy,120600,0.607,73204.2,64.8219,rebalance
2025-10-13,512000,sell,96000,0.6,57600.0,73.04602499999999,rebalance
2025-10-13,159537,buy,33300,1.645,54778.5,73.04602499999999,rebalance
2025-10-14,159915,sell,5900,2.934,17310.600000000002,22.503780000000003,追踪止损: 回撤9.3% > 8%
2025-10-14,512000,sell,91300,0.596,54414.799999999996,87.12608666666665,rebalance
2025-10-14,159537,sell,33300,1.562,52014.6,87.12608666666665,rebalance
2025-10-14,512890,buy,80400,1.177,94630.8,87.12608666666665,rebalance
2025-10-15,512890,sell,34800,1.182,41133.6,61.77717,rebalance
2025-10-15,512000,buy,89400,0.603,53908.2,61.77717,rebalance
2025-10-17,512000,sell,89400,0.59,52746.0,54.234375,rebalance
2025-10-17,512890,buy,25900,1.185,30691.5,54.234375,rebalance
2025-10-21,512890,sell,25500,1.19,30345.0,55.343925,rebalance
2025-10-21,512000,buy,92100,0.595,54799.5,55.343925,rebalance
2025-10-22,512000,sell,92100,0.59,54339.0,66.65021999999999,rebalance
2025-10-22,512890,buy,40200,1.199,48199.8,66.65021999999999,rebalance
2025-10-24,512890,sell,50700,1.197,60687.9,63.12735,rebalance
2025-10-24,515000,buy,41800,1.017,42510.6,63.12735,rebalance
2025-10-24,512000,buy,70800,0.6,42480.0,63.12735,rebalance
2025-10-27,510300,buy,7000,4.826,33782.0,43.916599999999995,rebalance
2025-10-28,515000,sell,41800,1.047,43764.6,50.29608999999999,rebalance
2025-10-28,510300,sell,7000,4.802,33614.0,50.29608999999999,rebalance
2025-10-29,515000,buy,32000,1.055,33760.0,43.75007,rebalance
2025-10-29,510300,buy,6900,4.862,33547.8,43.75007,rebalance
2025-10-30,510300,sell,6900,4.823,33278.700000000004,42.992755,rebalance
2025-10-30,515000,sell,32000,1.027,32864.0,42.992755,rebalance
2025-11-04,512000,sell,70800,0.593,41984.4,63.045320000000004,rebalance
2025-11-04,512890,buy,45200,1.217,55008.4,63.045320000000004,rebalance
2025-11-10,512890,sell,32900,1.227,40368.3,64.312885,rebalance
2025-11-10,512000,buy,97300,0.602,58574.6,64.312885,rebalance
2025-11-12,512000,sell,97300,0.591,57504.299999999996,72.8468,rebalance
2025-11-12,512890,buy,43900,1.243,54567.700000000004,72.8468,rebalance
2025-11-13,512890,sell,44400,1.239,55011.600000000006,73.80022,rebalance
2025-11-13,512000,buy,98200,0.596,58527.2,73.80022,rebalance
2025-11-14,516160,buy,38100,3.051,116243.1,100.809215,rebalance
2025-11-14,512100,buy,12800,3.035,38848.0,100.809215,rebalance
2025-11-17,512000,sell,98200,0.582,57152.399999999994,74.29811999999998,rebalance
2025-11-18,516160,sell,21100,2.972,62709.2,63.40697999999999,rebalance
2025-11-18,512100,sell,12800,3.018,38630.399999999994,63.40697999999999,rebalance
2025-11-18,159790,buy,63200,0.798,50433.600000000006,63.40697999999999,rebalance
2025-11-18,512890,buy,35600,1.217,43325.200000000004,63.40697999999999,rebalance
2025-11-19,512890,sell,82900,1.219,101055.1,131.37163,rebalance
2025-11-20,512890,buy,76000,1.228,93328.0,121.32639999999999,rebalance
2025-11-21,516160,sell,17000,2.76,46920.0,60.995999999999995,追踪止损: 回撤9.9% > 8%
2025-11-28,512890,sell,44300,1.204,53337.2,57.9505875,rebalance
2025-11-28,159790,sell,63200,0.769,48600.8,57.9505875,rebalance
2025-11-28,512100,buy,12900,2.967,38274.3,57.9505875,rebalance
2025-11-28,515000,buy,40400,0.943,38097.2,57.9505875,rebalance
2025-12-02,512890,sell,31700,1.208,38293.6,87.094345,rebalance
2025-12-02,512100,sell,12900,2.962,38209.8,87.094345,rebalance
2025-12-02,512400,buy,66400,1.731,114938.40000000001,87.094345,rebalance
2025-12-02,515000,buy,80400,0.952,76540.8,87.094345,rebalance
2025-12-03,512400,sell,66400,1.742,115668.8,150.36944,rebalance
2025-12-05,515000,sell,61900,0.961,59485.9,75.4468,rebalance
2025-12-05,512000,buy,99100,0.571,56586.1,75.4468,rebalance
2025-12-08,515000,sell,27800,0.987,27438.6,36.966280000000005,rebalance
2025-12-08,512000,sell,46500,0.583,27109.5,36.966280000000005,rebalance
2025-12-08,159915,buy,9700,3.171,30758.699999999997,36.966280000000005,rebalance
2025-12-10,512100,buy,8700,2.999,26091.3,33.91869,rebalance
2025-12-11,159915,sell,9700,3.146,30516.2,35.483889999999995,rebalance
2025-12-11,512100,sell,8700,2.968,25821.6,35.483889999999995,rebalance
2025-12-11,512000,buy,44900,0.569,25548.1,35.483889999999995,rebalance
2025-12-12,588000,buy,22000,1.418,31196.0,40.495779999999996,rebalance
2025-12-12,159915,buy,9800,3.174,31105.2,40.495779999999996,rebalance
2025-12-15,159915,sell,9800,3.12,30576.0,39.7371,rebalance
2025-12-15,588000,sell,22000,1.389,30558.0,39.7371,rebalance
2025-12-16,515000,sell,31100,0.947,29451.699999999997,47.796384999999994,rebalance
2025-12-16,512000,buy,77200,0.571,44081.2,47.796384999999994,rebalance
2025-12-17,512000,sell,121700,0.582,70829.4,52.91234,rebalance
2025-12-17,515000,buy,31300,0.984,30799.2,52.91234,rebalance
2025-12-17,159915,buy,9700,3.164,30690.800000000003,52.91234,rebalance
2025-12-17,510500,buy,4200,7.259,30487.800000000003,52.91234,rebalance
2025-12-18,159915,sell,9700,3.092,29992.4,38.99012,rebalance
